"word","freq"
"sect",22
"streets",22
"ten",22
"thing",22
"whose",22
"circumstances",21
"city",21
"easy",21
"either",21
"five",21
"half",21
"industry",21
"knowledge",21
"less",21
"library",21
"person",21
"persons",21
"rise",21
"age",20
"army",20
"bred",20
"certain",20
"daily",20
"drew",20
"experiments",20
"god",20
"government",20
"help",20
"intended",20
"march",20
"name",20
"office",20
"practice",20
"proper",20
"round",20
"shop",20
"sold",20
"sorts",20
"state",20
"used",20
"waggons",20
"words",20
"advice",19
"become",19
"considerable",19
"expense",19
"fortune",19
"james",19
"king",19
"law",19
"lost",19
"meeting",19
"notice",19
"particular",19
"proposed",19
"rather",19
"receivd",19
"received",19
"something",19
"strong",19
"united",19
"whether",19
"accounts",18
"avoid",18
"believe",18
"free",18
"governors",18
"grew",18
"ingenious",18
"literary",18
"member",18
"mine",18
"newspaper",18
"power",18
"pretty",18
"proprietaries",18
"quakers",18
"remember",18
"richard",18
"say",18
"seen",18
"sensible",18
"shillings",18
"story",18
"style",18
"sum",18
"taking",18
"appeard",17
"appointed",17
"attention",17
"board",17
"bought",17
"century",17
"club",17
"donations",17
"door",17
"fifty",17
"hard",17
"high",17
"influence",17
"intention",17
"light",17
"mentioned",17
"obtaining",17
"ones",17
"pages",17
"pieces",17
"printer",17
"private",17
"proprietary",17
"religion",17
"second",17
"short",17
"spent",17
"study",17
"trade",17
"turn",17
"week",17
"women",17
"afterward",16
"calld",16
"considered",16
"council",16
"course",16
"credit",16
"employd",16
"employed",16
"fair",16
"france",16
"houses",16
"information",16
"junto",16
"lord",16
"natural",16
"note",16
"officers",16
"orders",16
"original",16
"page",16
"passage",16
"piece",16
"receive",16
"returnd",16
"royal",16
"seeing",16
"six",16
"stand",16
"tax",16
"thee",16
"view",16
"visit",16
"wife",16
"almost",15
"already",15
"answer",15
"appearance",15
"arrivd",15
"assistance",15
"back",15
"cause",15
"concluded",15
"copies",15
"died",15
"edition",15
"eight",15
"enough",15
"excellent",15
"farther",15
"finding",15
"future",15
"head",15
"indians",15
"kings",15
"laid",15
"license",15
"matter",15
"opportunity",15
"pamphlet",15
"paris",15
"parts",15
"paying",15
"printers",15
"provided",15
"provisions",15
"room",15
"scheme",15
"send",15
"times",15
"troops",15
"types",15
"viz",15
"whistle",15
"wind",15
"write",15
"afford",14
"anything",14
"askd",14
"attend",14
"attended",14
"bad",14
"bradford",14
"clean",14
"clear",14
"collection",14
"contrary",14
"copyright",14
"court",14
"debt",14
"degree",14
"easily",14
"except",14
"famous",14
"faults",14
"favour",14
"george",14
"gone",14
"happened",14
"hope",14
"importance",14
"language",14
"least",14
"leisure",14
"makes",14
"manuscript",14
"meet",14
"mention",14
"miles",14
"months",14
"moon",14
"per",14
"possible",14
"proposal",14
"publick",14
"reasonable",14
"regard",14
"returned",14
"seemd",14
"setting",14
"side",14
"subject",14
"thirty",14
"thomas",14
"thy",14
"union",14
"virtues",14
"almanac",13
"archive",13
"assist",13
"author",13
"bill",13
"boy",13
"bread",13
"britain",13
"certainly",13
"chose",13
"clerk",13
"colonel",13
"death",13
"drawn",13
"effect",13
"employment",13
"estate",13
"fast",13
"fit",13
"formd",13
"hearing",13
"history",13
"instance",13
"judgment",13
"keeping",13
"knowing",13
"languages",13
"lately",13
"latter",13
"liberty",13
"likely",13
"line",13
"lines",13
"live",13
"lodging",13
"none",13
"places",13
"principal",13
"profitable",13
"rain",13
"respecting",13
"sea",13
"share",13
"sufficient",13
"thirteen",13
"trouble",13
"twelve",13
"wanted",13
"weather",13
"weeks",13
"within",13
"youth",13
"access",12
"agree",12
"appeared",12
"arrived",12
"besides",12
"born",12
"carry",12
"collins",12
"constant",12
"continually",12
"continue",12
"danger",12
"design",12
"desire",12
"discourse",12
"dispute",12
"established",12
"feet",12
"fell",12
"fine",12
"follow",12
"frequently",12
"gentlemen",12
"ground",12
"habit",12
"honour",12
"hours",12
"ideas",12
"inclination",12
"learned",12
"low",12
"market",12
"military",12
"miss",12
"nature",12
"obtain",12
"occasiond",12
"offered",12
"open",12
"refusd",12
"rules",12
"sense",12
"stores",12
"suppose",12
"towards",12
"usd",12
"using",12
"acquired",11
"affair",11
"agreeable",11
"attending",11
"begin",11
"benefit",11
"body",11
"bring",11
"charge",11
"child",11
"church",11
"commission",11
"compliance",11
"composing",11
"debts",11
"difficulty",11
"draw",11
"due",11
"education",11
"enemy",11
"everything",11
"example",11
"fort",11
"gentleman",11
"goods",11
"greatest",11
"happy",11
"horse",11
"idle",11
"improvement",11
"kite",11
"learning",11
"longer",11
"middle",11
"opinions",11
"otherwise",11
"paragraph",11
"partnership",11
"passd",11
"past",11
"plain",11
"pleasd",11
"pleasing",11
"prevent",11
"procure",11
"quite",11
"really",11
"religious",11
"remarkable",11
"respect",11
"samuel",11
"sat",11
"satisfaction",11
"scarce",11
"secret",11
"secretary",11
"servant",11
"show",11
"silk",11
"silver",11
"speak",11
"strongly",11
"support",11
"tell",11
"thinking",11
"true",11
"vanity",11
"wealth",11
"wet",11
"wish",11
"woman",11
"working",11
"writer",11
"academy",10
"advisd",10
"air",10
"anyone",10
"approvd",10
"articles",10
"association",10
"behind",10
"boat",10
"british",10
"carrying",10
"change",10
"citizens",10
"coming",10
"commissioners",10
"committee",10
"cut",10
"dinner",10
"duty",10
"eat",10
"ebook",10
"encouraged",10
"endeavour",10
"entitled",10
"execution",10
"fee",10
"foot",10
"force",10
"forth",10
"forty",10
"frequent",10
"friendship",10
"gazette",10
"gold",10
"gradually",10
"hardly",10
"hath",10
"hear",10
"hereafter",10
"honest",10
"human",10
"improvd",10
"invited",10
"journey",10
"land",10
"late",10
"leaving",10
"list",10
"loss",10
"matters",10
"meredith",10
"mother",10
"mud",10
"obtaind",10
"particularly",10
"party",10
"placd",10
"price",10
"principles",10
"print",10
"progress",10
"promise",10
"publication",10
"real",10
"recommending",10
"refund",10
"relating",10
"returning",10
"richards",10
"river",10
"rum",10
"sake",10
"school",10
"seldom",10
"sending",10
"sentiments",10
"sermons",10
"serve",10
"settled",10
"seven",10
"stock",10
"struck",10
"subscription",10
"supposd",10
"surprisd",10
"teach",10
"text",10
"thereby",10
"trademark",10
"trustees",10
"undertaking",10
"unless",10
"vice",10
"waggon",10
"watch",10
"workd",10
"worth",10
"abroad",9
"accompanied",9
"active",9
"additional",9
"adopted",9
"advantages",9
"apprentice",9
"approbation",9
"art",9
"assemblies",9
"beer",9
"bound",9
"braddock",9
"breakfast",9
"carriages",9
"cases",9
"charles",9
"chosen",9
"college",9
"command",9
"comply",9
"containing",9
"convenient",9
"crown",9
"degrees",9
"demand",9
"desired",9
"determined",9
"difference",9
"discharge",9
"distance",9
"doctrine",9
"drink",9
"dust",9
"editions",9
"eighteenth",9
"europe",9
"examination",9
"experiment",9
"extremely",9
"fact",9
"finally",9
"formed",9
"founded",9
"frugality",9
"greater",9
"hamilton",9
"important",9
"instances",9
"island",9
"lay",9
"literature",9
"living",9
"lodgd",9
"mans",9
"meantime",9
"mere",9
"moral",9
"named",9
"obligd",9
"observd",9
"obtained",9
"occasions",9
"opposition",9
"osborne",9
"owner",9
"parties",9
"peace",9
"persuaded",9
"poet",9
"points",9
"political",9
"procuring",9
"produce",9
"provide",9
"purchase",9
"relations",9
"report",9
"reputation",9
"saild",9
"shirley",9
"showd",9
"sides",9
"situation",9
"smith",9
"spare",9
"speech",9
"stood",9
"sure",9
"table",9
"temple",9
"thither",9
"thou",9
"truth",9
"undertook",9
"unwilling",9
"value",9
"wisdom",9
"word",9
"workmen",9
"writers",9
"writings",9
"absence",8
"acquird",8
"agent",8
"albany",8
"americans",8
"appear",8
"appears",8
"application",8
"arms",8
"associated",8
"bills",8
"brothers",8
"buy",8
"camp",8
"choice",8
"consider",8
"consideration",8
"constantly",8
"consulted",8
"continual",8
"contributions",8
"correspondence",8
"county",8
"courant",8
"currency",8
"custom",8
"daughter",8
"defeat",8
"denham",8
"desiring",8
"directly",8
"distribute",8
"distributed",8
"domain",8
"eating",8
"electric",8
"employ",8
"engaged",8
"enter",8
"entertainment",8
"erected",8
"expect",8
"expedition",8
"experience",8
"fall",8
"fault",8
"fond",8
"freely",8
"friendly",8
"furnish",8
"generals",8
"getting",8
"godfrey",8
"greatly",8
"grown",8
"happend",8
"hitherto",8
"immediate",8
"including",8
"instead",8
"instructed",8
"instruction",8
"interesting",8
"join",8
"justice",8
"later",8
"latin",8
"livd",8
"looking",8
"love",8
"measures",8
"memory",8
"merchant",8
"message",8
"names",8
"nearly",8
"necessity",8
"north",8
"notwithstanding",8
"numerous",8
"observation",8
"occasioned",8
"officer",8
"pavement",8
"philosophy",8
"pint",8
"please",8
"pleased",8
"poetry",8
"possibly",8
"preceding",8
"presented",8
"principle",8
"proceeded",8
"prose",8
"proved",8
"providence",8
"question",8
"reader",8
"regular",8
"remain",8
"remained",8
"remaining",8
"requested",8
"resolution",8
"row",8
"schools",8
"secure",8
"signed",8
"similar",8
"single",8
"spectator",8
"spread",8
"strangers",8
"succeed",8
"sun",8
"suspected",8
"taught",8
"temperance",8
"thence",8
"thoughts",8
"toward",8
"translated",8
"understood",8
"undertake",8
"utility",8
"volumes",8
"votes",8
"voyage",8
"wages",8
"walking",8
"washington",8
"west",8
"whatever",8
"wise",8
"accept",7
"accepted",7
"according",7
"actions",7
"addition",7
"administration",7
"allow",7
"answering",7
"answers",7
"apprehended",7
"approve",7
"arguments",7
"asked",7
"assembled",7
"bed",7
"bishop",7
"bond",7
"built",7
"carolina",7
"civil",7
"clause",7
"collinson",7
"companies",7
"conceivd",7
"concern",7
"considering",7
"constitution",7
"dear",7
"december",7
"delivered",7
"desird",7
"desirous",7
"dialogue",7
"diligence",7
"disposition",7
"disputes",7
"distributing",7
"distribution",7
"dont",7
"doubt",7
"dry",7
"eagerly",7
"ebooks",7
"eighteen",7
"enabled",7
"engagd",7
"equally",7
"especially",7
"establishing",7
"exercise",7
"expressing",7
"expression",7
"fail",7
"families",7
"fifteen",7
"fish",7
"fleet",7
"followed",7
"foreign",7
"forget",7
"forgotten",7
"former",7
"forming",7
"fully",7
"fund",7
"grant",7
"growing",7
"happening",7
"highly",7
"hold",7
"holes",7
"hour",7
"ill",7
"imagined",7
"impossible",7
"improve",7
"included",7
"industrious",7
"joind",7
"keith",7
"kindly",7
"lamps",7
"lbs",7
"lightning",7
"likewise",7
"loudoun",7
"lovd",7
"majestys",7
"married",7
"maryland",7
"measure",7
"medal",7
"mentiond",7
"messages",7
"militia",7
"minds",7
"month",7
"morals",7
"morris",7
"mrs",7
"mutual",7
"need",7
"newcastle",7
"observe",7
"offer",7
"omitted",7
"opened",7
"operation",7
"parliament",7
"pass",7
"passed",7
"passengers",7
"passy",7
"payment",7
"perfection",7
"perform",7
"permission",7
"personal",7
"pope",7
"port",7
"posted",7
"proceed",7
"profit",7
"promote",7
"provinces",7
"prudent",7
"publishd",7
"quaker",7
"qualified",7
"questions",7
"raising",7
"readily",7
"reasons",7
"regularly",7
"removed",7
"request",7
"required",7
"rule",7
"sail",7
"sailing",7
"seat",7
"section",7
"seemed",7
"sell",7
"sermon",7
"serviceable",7
"shown",7
"silence",7
"sons",7
"speaker",7
"standing",7
"strength",7
"subscribers",7
"subscriptions",7
"suit",7
"suitable",7
"term",7
"tolerable",7
"treated",7
"try",7
"turnd",7
"turned",7
"twenty",7
"type",7
"usually",7
"vain",7
"variety",7
"various",7
"virginia",7
"voice",7
"volume",7
"waited",7
"walkd",7
"whenever",7
"whitefield",7
"wide",7
"wishd",7
"worked",7
"wrong",7
"abilities",6
"accidental",6
"adding",6
"address",6
"advance",6
"advise",6
"agreeably",6
"allowd",6
"alone",6
"answered",6
"appearing",6
"applyd",6
"apprehend",6
"ask",6
"asking",6
"assent",6
"assurd",6
"begun",6
"believing",6
"bigelow",6
"blessing",6
"bonds",6
"borrow",6
"break",6
"bright",6
"calling",6
"cannon",6
"celebrated",6
"chief",6
"chiefly",6
"clearness",6
"close",6
"communicated",6
"companion",6
"compleat",6
"complying",6
"conceive",6
"conducted",6
"confusion",6
"consequence",6
"consisted",6
"contain",6
"continuing",6
"contradiction",6
"corrected",6
"cost",6
"counsel",6
"countries",6
"creek",6
"david",6
"denny",6
"deputies",6
"determind",6
"diet",6
"difficult",6
"difficulties",6
"discovered",6
"dropt",6
"educated",6
"electricity",6
"eleven",6
"eminent",6
"endeavoured",6
"entertaining",6
"error",6
"errors",6
"essays",6
"establish",6
"esteem",6
"esteemd",6
"excuse",6
"explain",6
"express",6
"extreamly",6
"eyes",6
"face",6
"fathers",6
"felicity",6
"felt",6
"figure",6
"fixed",6
"follows",6
"folly",6
"forbidden",6
"forts",6
"fresh",6
"frontier",6
"generous",6
"guard",6
"habits",6
"harry",6
"heads",6
"hearers",6
"heart",6
"hints",6
"holmes",6
"ignorant",6
"improving",6
"increasing",6
"indentures",6
"informed",6
"july",6
"june",6
"keimers",6
"key",6
"landed",6
"laying",6
"learn",6
"learnt",6
"led",6
"libraries",6
"lives",6
"lordships",6
"magazine",6
"majority",6
"management",6
"masters",6
"mean",6
"meaning",6
"medium",6
"merchants",6
"merit",6
"minister",6
"mistaken",6
"mode",6
"modest",6
"neighbouring",6
"news",6
"nine",6
"noise",6
"notes",6
"obliged",6
"observed",6
"occasional",6
"online",6
"pamphlets",6
"penn",6
"performance",6
"performing",6
"peter",6
"philosopher",6
"phrase",6
"pleasant",6
"plentifully",6
"pocket",6
"pointed",6
"powerful",6
"praise",6
"preach",6
"preacher",6
"presbyterian",6
"presently",6
"previous",6
"printingoffice",6
"produced",6
"profits",6
"promisd",6
"promoting",6
"properly",6
"proposals",6
"propose",6
"provd",6
"publish",6
"purchasing",6
"quarter",6
"reach",6
"readiness",6
"receiving",6
"remainder",6
"repeal",6
"resentment",6
"resolved",6
"respected",6
"revolution",6
"ruin",6
"saturday",6
"scholar",6
"science",6
"scientific",6
"september",6
"services",6
"showing",6
"signd",6
"sincere",6
"sleep",6
"soul",6
"spanish",6
"spirit",6
"stay",6
"stone",6
"subjects",6
"sudden",6
"supply",6
"taxes",6
"team",6
"throw",6
"totally",6
"traveling",6
"treaty",6
"trees",6
"twine",6
"unable",6
"uncle",6
"understand",6
"understanding",6
"usual",6
"verses",6
"visited",6
"volunteers",6
"wanting",6
"web",6
"wheels",6
"wherein",6
"willing",6
"wished",6
"woods",6
"absolutely",5
"acquire",5
"activity",5
"admitted",5
"affection",5
"aft",5
"afternoon",5
"aid",5
"almanack",5
"anecdotes",5
"apply",5
"argument",5
"arrival",5
"arrive",5
"assisted",5
"attackd",5
"attendance",5
"attorney",5
"battery",5
"bear",5
"bible",5
"bodies",5
"breach",5
"broken",5
"burlington",5
"cabin",5
"call",5
"changes",5
"chapter",5
"cheap",5
"chuse",5
"civility",5
"claim",5
"clearly",5
"clergy",5
"clothes",5
"collections",5
"compositor",5
"concerning",5
"connected",5
"connection",5
"contest",5
"contrived",5
"convincd",5
"correct",5
"counties",5
"creditors",5
"cross",5
"curiosity",5
"curious",5
"damages",5
"declind",5
"delay",5
"demanded",5
"detaind",5
"differences",5
"direct",5
"directed",5
"disagreeable",5
"displayed",5
"displaying",5
"disputing",5
"diversion",5
"doctor",5
"doors",5
"doubted",5
"doubting",5
"dozen",5
"drank",5
"drawing",5
"drinking",5
"drunk",5
"duquesne",5
"ease",5
"ecton",5
"effects",5
"election",5
"electrical",5
"encourage",5
"engage",5
"entirely",5
"events",5
"expenses",5
"expressd",5
"expressed",5
"extensive",5
"failed",5
"fear",5
"fields",5
"fix",5
"flour",5
"followd",5
"forms",5
"forward",5
"fothergill",5
"furnishd",5
"furniture",5
"gain",5
"garrison",5
"genius",5
"grand",5
"grave",5
"gun",5
"hail",5
"handkerchief",5
"happiness",5
"health",5
"heartily",5
"held",5
"idea",5
"iii",5
"imagine",5
"increasd",5
"indian",5
"informd",5
"injustice",5
"inserted",5
"institution",5
"integrity",5
"intent",5
"italian",5
"january",5
"jersey",5
"josiah",5
"journal",5
"judgd",5
"kennedy",5
"killed",5
"labour",5
"lancaster",5
"lawyers",5
"lead",5
"lest",5
"likd",5
"limited",5
"linnen",5
"lodge",5
"lodgings",5
"look",5
"lordship",5
"lying",5
"madeira",5
"mark",5
"marked",5
"marketstreet",5
"match",5
"maxims",5
"mens",5
"ministers",5
"modesty",5
"monday",5
"mortification",5
"narrative",5
"nations",5
"neglect",5
"neglected",5
"neighbour",5
"neither",5
"numbers",5
"objected",5
"objections",5
"occasionally",5
"oclock",5
"offense",5
"offerd",5
"ordered",5
"pains",5
"partly",5
"passion",5
"patience",5
"paul",5
"payments",5
"perfectly",5
"permitted",5
"petition",5
"philosophical",5
"pleasantly",5
"plenty",5
"pockets",5
"possession",5
"post",5
"postmastergeneral",5
"practical",5
"prayer",5
"preachd",5
"prevaild",5
"prevailed",5
"proceedings",5
"procurd",5
"profession",5
"promised",5
"promises",5
"property",5
"proposition",5
"prospect",5
"protection",5
"proud",5
"providing",5
"purposes",5
"putting",5
"quantity",5
"quarrel",5
"queries",5
"raisd",5
"raise",5
"raised",5
"reached",5
"reads",5
"reality",5
"recommend",5
"recommended",5
"red",5
"reduced",5
"refuse",5
"regiment",5
"remarks",5
"remove",5
"replacement",5
"reprinted",5
"require",5
"respective",5
"reward",5
"rich",5
"ridiculous",5
"rising",5
"robert",5
"running",5
"saddle",5
"sails",5
"saying",5
"search",5
"seeming",5
"separately",5
"sets",5
"shilling",5
"sign",5
"simple",5
"sincerity",5
"sitting",5
"sixty",5
"size",5
"sloop",5
"sober",5
"soliciting",5
"sooner",5
"spend",5
"square",5
"statesman",5
"sterling",5
"stockings",5
"stones",5
"store",5
"succeeded",5
"supper",5
"surprise",5
"sweeping",5
"swept",5
"system",5
"thankd",5
"thanks",5
"throughout",5
"tired",5
"transaction",5
"transactions",5
"trifling",5
"unanimously",5
"unfortunate",5
"university",5
"vernon",5
"verse",5
"vessel",5
"views",5
"village",5
"virtuous",5
"walk",5
"watson",5
"ways",5
"webb",5
"weight",5
"westminster",5
"wharf",5
"womens",5
"workman",5
"worship",5
"youngest",5
"abrahams",4
"acceptable",4
"acquainting",4
"advancd",4
"advanced",4
"advancement",4
"advertisement",4
"advertisements",4
"advised",4
"affectionate",4
"afforded",4
"aim",4
"alehouse",4
"allowed",4
"alterations",4
"amounted",4
"amusements",4
"annual",4
"answerd",4
"apparatus",4
"applied",4
"apprentices",4
"approach",4
"april",4
"apt",4
"arts",4
"ascribed",4
"ashamd",4
"ate",4
"avoided",4
"baggage",4
"bay",4
"bearing",4
"beat",4
"becoming",4
"bethlehem",4
"beyond",4
"bold",4
"bore",4
"bottom",4
"boys",4
"bradfords",4
"breintnal",4
"bringing",4
"brockden",4
"burnet",4
"busy",4
"canton",4
"carts",4
"caution",4
"censure",4
"changed",4
"channel",4
"charity",4
"chelsea",4
"chess",4
"china",4
"christian",4
"christs",4
"clouds",4
"commanded",4
"communicate",4
"companions",4
"complaint",4
"conceived",4
"conceiving",4
"concerned",4
"conclusion",4
"condition",4
"confidence",4
"congress",4
"consented",4
"consequences",4
"contact",4
"containd",4
"contains",4
"contemporaries",4
"contracted",4
"contribute",4
"convince",4
"copied",4
"copying",4
"courtship",4
"creating",4
"critic",4
"crossing",4
"curiosities",4
"dates",4
"debates",4
"declining",4
"defended",4
"defending",4
"departure",4
"description",4
"die",4
"diligent",4
"dirt",4
"discourage",4
"discover",4
"discoverd",4
"discoveries",4
"discretion",4
"dislike",4
"disputed",4
"dissuaded",4
"distances",4
"distemper",4
"district",4
"doctrines",4
"dressd",4
"dull",4
"dunbar",4
"dutch",4
"duties",4
"earth",4
"elders",4
"eldest",4
"elegant",4
"elegy",4
"eloquent",4
"email",4
"employments",4
"enable",4
"encouragd",4
"endeavourd",4
"endeavouring",4
"ends",4
"erratum",4
"essay",4
"establishd",4
"establishment",4
"estates",4
"examine",4
"executed",4
"exempting",4
"expectations",4
"expensive",4
"expert",4
"explained",4
"exposd",4
"expressions",4
"extraordinary",4
"facilitate",4
"falling",4
"farmers",4
"favor",4
"feel",4
"fees",4
"fellow",4
"fill",4
"filld",4
"filled",4
"finds",4
"finishd",4
"firm",4
"fixd",4
"fog",4
"forever",4
"format",4
"formerly",4
"fourth",4
"front",4
"furnished",4
"gaind",4
"german",4
"glass",4
"globe",4
"gnadenhut",4
"goodnaturd",4
"goodness",4
"govern",4
"grain",4
"grammarschool",4
"grandfather",4
"gratis",4
"guineas",4
"guns",4
"halifax",4
"hall",4
"handsome",4
"handsomely",4
"henry",4
"histories",4
"holder",4
"holy",4
"horseback",4
"hospital",4
"humility",4
"hurtful",4
"husband",4
"ignorance",4
"imagind",4
"imitated",4
"imported",4
"inclind",4
"inconveniences",4
"increase",4
"individual",4
"inducd",4
"ink",4
"inquiry",4
"insisted",4
"instrument",4
"intending",4
"interests",4
"intimate",4
"introducd",4
"introduced",4
"introduction",4
"invented",4
"jobb",4
"johnson",4
"journeyman",4
"judgments",4
"kindness",4
"lastly",4
"lent",4
"liquor",4
"located",4
"lookd",4
"looked",4
"lot",4
"lottery",4
"louis",4
"lower",4
"managd",4
"mankind",4
"marriage",4
"mars",4
"massachusetts",4
"materials",4
"mather",4
"meant",4
"meetinghouse",4
"mentioning",4
"merc",4
"mercantile",4
"merely",4
"mission",4
"morality",4
"narrow",4
"nation",4
"naturally",4
"neighbours",4
"noon",4
"objection",4
"observing",4
"odd",4
"opportunities",4
"opposite",4
"ordinary",4
"owners",4
"oxford",4
"packet",4
"packets",4
"pair",4
"pale",4
"palisades",4
"particulars",4
"patent",4
"pen",4
"perfect",4
"persecution",4
"persuasion",4
"pine",4
"pious",4
"placed",4
"plans",4
"played",4
"plays",4
"popularity",4
"positive",4
"posterity",4
"postoffice",4
"poverty",4
"powder",4
"practicable",4
"prayers",4
"preaching",4
"precepts",4
"prejudice",4
"prepare",4
"presbyterians",4
"presenting",4
"prevented",4
"pride",4
"princes",4
"pro",4
"proceeding",4
"promising",4
"proportion",4
"proposing",4
"propriety",4
"provincial",4
"provision",4
"pulpit",4
"punctually",4
"purchasd",4
"quarrels",4
"quoted",4
"ran",4
"receipt",4
"reception",4
"refused",4
"refusing",4
"regiments",4
"regulating",4
"relation",4
"render",4
"repeat",4
"requesting",4
"requirements",4
"resented",4
"rhode",4
"rice",4
"riddlesden",4
"roll",4
"rose",4
"sailed",4
"satires",4
"satirical",4
"savages",4
"save",4
"saving",4
"scholars",4
"scrivener",4
"sects",4
"sentences",4
"series",4
"servants",4
"seventy",4
"sheet",4
"shift",4
"shoes",4
"shops",4
"shorthand",4
"showed",4
"shows",4
"shut",4
"sincerely",4
"singular",4
"site",4
"sixpence",4
"slept",4
"sloth",4
"smoke",4
"smyth",4
"soldier",4
"soldiers",4
"solicit",4
"sort",4
"sound",4
"speaking",4
"spoke",4
"spoon",4
"squadron",4
"standard",4
"start",4
"stated",4
"station",4
"stationers",4
"stationery",4
"status",4
"stove",4
"studied",4
"successful",4
"sufferd",4
"suffered",4
"sundays",4
"supplyd",4
"supported",4
"supporting",4
"supposing",4
"surprised",4
"suspicion",4
"sxtil",4
"talking",4
"tavern",4
"taxing",4
"telling",4
"temper",4
"thunder",4
"title",4
"today",4
"tomorrow",4
"top",4
"trust",4
"turning",4
"twentyfive",4
"twentyfour",4
"uncertain",4
"unhappy",4
"unnecessary",4
"upward",4
"urged",4
"usefulness",4
"vacancy",4
"veillard",4
"ven",4
"version",4
"vexation",4
"victuals",4
"vii",4
"voluntarily",4
"voluntary",4
"vote",4
"voted",4
"wait",4
"wealthy",4
"weekly",4
"white",4
"whoever",4
"widely",4
"widow",4
"window",4
"wine",4
"wishing",4
"wonderful",4
"wygate",4
"xvi",4
"zealous",4
"abbé",3
"absent",3
"absolute",3
"abuse",3
"accidents",3
"accommodate",3
"accommodation",3
"accompany",3
"accomplish",3
"accordance",3
"accustomed",3
"acknowledgd",3
"acquaint",3
"acquaintances",3
"acquisition",3
"acts",3
"actually",3
"add",3
"added",3
"addison",3
"addressed",3
"admiration",3
"admit",3
"advantageous",3
"affluence",3
"agreeing",3
"alexander",3
"alive",3
"allowance",3
"alteration",3
"although",3
"ambitious",3
"amendment",3
"ammunition",3
"amount",3
"amounting",3
"amusement",3
"andrew",3
"angles",3
"annis",3
"annually",3
"anywhere",3
"apology",3
"apparent",3
"applicable",3
"apprenticeship",3
"aquilla",3
"arising",3
"arithmetic",3
"armed",3
"artillery",3
"asleep",3
"assumed",3
"assuming",3
"assure",3
"assuring",3
"attain",3
"attempt",3
"attempted",3
"augmenting",3
"authors",3
"averse",3
"avoiding",3
"awhile",3
"awkward",3
"axes",3
"bag",3
"bagatelles",3
"bail",3
"balance",3
"baltimore",3
"beam",3
